Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 75,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/75,119th Congress (2025-2026),"To require the Secretary of Housing and Urban Development and the Secretary of Agriculture to withdraw a final determination relating to energy efficiency standards for housing, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,"House - Financial Services, Veterans' Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Higgins, Clay [Rep.-R-LA-3]","Moolenaar, John R. [Rep.-R-MI-2]","Donalds, Byron [Rep.-R-FL-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 74,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/74,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to allow for tax-advantaged distributions from health savings accounts during family or medical leave, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/3/2025,"Burlison, Eric [Rep.-R-MO-7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 73,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/73,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to provide that amounts paid for an abortion are not taken into account for purposes of the deduction for medical expenses.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/3/2025,"Allen, Rick W. [Rep.-R-GA-12]","Moore, Barry [Rep.-R-AL-1]","Joyce, John [Rep.-R-PA-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 72,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/72,119th Congress (2025-2026),"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to furnish hyperbaric oxygen therapy to veterans with traumatic brain injury or post-traumatic stress disorder.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]","Gosar, Paul A. [Rep.-R-AZ-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 71,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/71,119th Congress (2025-2026),To direct the Secretary of Veterans Affairs to carry out a pilot program to improve the ability of veterans to access medical care in medical facilities of the Department of Veterans Affairs and in the community by providing the veterans the ability to choose health care providers.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]","Webster, Daniel [Rep.-R-FL-11]","Salazar, Maria Elvira [Rep.-R-FL-27]","Gosar, Paul A. [Rep.-R-AZ-9]","Luna, Anna Paulina [Rep.-R-FL-13]","Brecheen, Josh [Rep.-R-OK-2]","Buchanan, Vern [Rep.-R-FL-16]","Miller, Mary E. [Rep.-R-IL-15]","Hageman, Harriet M. [Rep.-R-WY-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 70,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/70,119th Congress (2025-2026),"To prohibit the Administrator of General Services from awarding contracts for certain commercial payment systems under the SmartPay Program, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Cline, Ben [Rep.-R-VA-6]","Boebert, Lauren [Rep.-R-CO-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 69,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/69,119th Congress (2025-2026),"To amend title 29, District of Columbia Official Code, to treat meetings held by nonprofit organizations with officials of the Federal Government which are held in the District of Columbia at locations owned or leased by the Federal Government as activities not constituting doing business in the District of Columbia for purposes of determining whether such organizations are required to register with the District of Columbia.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 68,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/68,119th Congress (2025-2026),"To authorize funds to prevent housing discrimination through the use of nationwide testing, to increase funds for the Fair Housing Initiatives Program, and for other purposes.","Green, Al [Rep.-D-TX-9] (Introduced 01/03/2025)",Democratic,1/3/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/3/2025,"Fletcher, Lizzie [Rep.-D-TX-7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 67,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/67,119th Congress (2025-2026),"To improve retrospective reviews of Federal regulations, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 66,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/66,119th Congress (2025-2026),"To amend chapter 131 of title 5, United States Code, to require Senior Executive Service and schedule C employees to disclose Federal student loan debt, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,"Brecheen, Josh [Rep.-R-OK-2]","Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 65,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/65,119th Congress (2025-2026),To amend the Endangered Species Act of 1973 to further restrict the Secretary of the Interior from designating certain lands used for national defense-related purposes as critical habitat for any species under that Act and to broaden exclusions and exemptions from that Act for such defense-related purposes.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,"Gosar, Paul A. [Rep.-R-AZ-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 64,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/64,119th Congress (2025-2026),To require the Secretary of Homeland Security to detain any alien who is unlawfully present in the United States and is arrested for certain criminal offenses.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Luna, Anna Paulina [Rep.-R-FL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 63,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/63,119th Congress (2025-2026),To prohibit Federal funds from being awarded or otherwise made available to the Manhattan District Attorney's Office.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]","Brecheen, Josh [Rep.-R-OK-2]","Luna, Anna Paulina [Rep.-R-FL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 62,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/62,119th Congress (2025-2026),To prohibit Federal funds from being awarded or otherwise made available to the Fulton County District Attorney's Office.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]","Luna, Anna Paulina [Rep.-R-FL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 61,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/61,119th Congress (2025-2026),"To amend the William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 to clarify the standards for family detention, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Burlison, Eric [Rep.-R-MO-7]","Crane, Elijah [Rep.-R-AZ-2]","Nehls, Troy E. [Rep.-R-TX-22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 60,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/60,119th Congress (2025-2026),"To protect the right of law-abiding citizens to transport knives interstate, notwithstanding a patchwork of State and local prohibitions that burden citizens.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 59,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/59,119th Congress (2025-2026),"To specify the state of mind required for conviction for criminal offenses that lack an expressly identified state of mind, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Roy, Chip [Rep.-R-TX-21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 58,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/58,119th Congress (2025-2026),"To amend the Immigration and Nationality Act to make voting in a Federal election by an unlawfully present alien an aggravated felony, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Mace, Nancy [Rep.-R-SC-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 57,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/57,119th Congress (2025-2026),"To amend the Immigration and Nationality Act with respect to the parole or release of an asylum applicant, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Mace, Nancy [Rep.-R-SC-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 56,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/56,119th Congress (2025-2026),To transfer certain responsibilities of the United States Secret Service to the Federal Bureau of Investigation.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,"Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 55,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/55,119th Congress (2025-2026),To repeal the National Voter Registration Act of 1993.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - House Administration,Referred to the House Committee on House Administration.,1/3/2025,"Perry, Scott [Rep.-R-PA-10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 54,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/54,119th Congress (2025-2026),"To direct the President to withdraw the United States from the Constitution of the World Health Organization, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/3/2025,"LaMalfa, Doug [Rep.-R-CA-1]","Burlison, Eric [Rep.-R-MO-7]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Massie, Thomas [Rep.-R-KY-4]","Crane, Elijah [Rep.-R-AZ-2]","Moolenaar, John R. [Rep.-R-MI-2]","Mace, Nancy [Rep.-R-SC-1]","Higgins, Clay [Rep.-R-LA-3]","Norman, Ralph [Rep.-R-SC-5]","Ogles, Andrew [Rep.-R-TN-5]","Tenney, Claudia [Rep.-R-NY-24]","Edwards, Chuck [Rep.-R-NC-11]","Brecheen, Josh [Rep.-R-OK-2]","McCormick, Richard [Rep.-R-GA-7]","Harshbarger, Diana [Rep.-R-TN-1]","Gosar, Paul A. [Rep.-R-AZ-9]","Miller, Mary E. [Rep.-R-IL-15]","Roy, Chip [Rep.-R-TX-21]","Steube, W. Gregory [Rep.-R-FL-17]","Yakym, Rudy [Rep.-R-IN-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 53,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/53,119th Congress (2025-2026),"To cancel certain proposed changes to credit fees charged by the Federal National Mortgage Association and the Federal Home Loan Mortgage Corporation, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Burlison, Eric [Rep.-R-MO-7]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Cline, Ben [Rep.-R-VA-6]","Bost, Mike [Rep.-R-IL-12]","Cloud, Michael [Rep.-R-TX-27]","Donalds, Byron [Rep.-R-FL-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 52,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/52,119th Congress (2025-2026),"To require the Securities and Exchange Commission to amend a rule of the Commission relating to shareholder proposals, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
